Заклинания без полного перевода
Формат: id | name | level | source | что отсутствует
srd-2024_magic-jar | Magic Jar | 6 | 5e 2024 Rules | name_ru, description_ru
spells-that-dont-suck_martial-transformation | Martial Transformation | 6 | Spells That Don't Suck | name_ru, description_ru
srd-2024_mass-suggestion | Mass Suggestion | 6 | 5e 2024 Rules | name_ru, description_ru
wz_mind-maze | Mind Maze | 6 | Warlock Zine | name_ru, description_ru
srd-2024_move-earth | Move Earth | 6 | 5e 2024 Rules | name_ru, description_ru
spells-that-dont-suck_necrotic-sphere | Necrotic Sphere | 6 | Spells That Don't Suck | name_ru, description_ru
spells-that-dont-suck_petrify | Petrify | 6 | Spells That Don't Suck | name_ru, description_ru
toh_pincer | Pincer | 6 | Tome of Heroes | name_ru, description_ru
srd-2024_planar-ally | Planar Ally | 6 | 5e 2024 Rules | name_ru, description_ru
srd-2024_programmed-illusion | Programmed Illusion | 6 | 5e 2024 Rules | name_ru, description_ru
deepmx_robe-of-shards | Robe of Shards | 6 | Deep Magic Extended | name_ru, description_ru
kp_seal-red-portal | Seal Red Portal | 6 | Kobold Press Compilation | name_ru, description_ru
kp_shadow-spawn | Shadow Spawn | 6 | Kobold Press Compilation | name_ru, description_ru
spells-that-dont-suck_sky-omen | Sky Omen | 6 | Spells That Don't Suck | name_ru, description_ru
deepmx_sphere-of-order | Sphere of Order | 6 | Deep Magic Extended | name_ru, description_ru
srd-2024_sunbeam | Sunbeam | 6 | 5e 2024 Rules | name_ru, description_ru
deepm_time-loop | Time Loop | 6 | Deep Magic for 5th Edition | name_ru, description_ru
toh_toadstool-ring | Toadstool Ring | 6 | Tome of Heroes | name_ru, description_ru
srd-2024_transport-via-plants | Transport via Plants | 6 | 5e 2024 Rules | name_ru, description_ru
srd-2024_true-seeing | True Seeing | 6 | 5e 2024 Rules | name_ru, description_ru
wz_vengeful-panopy-of-the-ley-line-ignited | Vengeful Panopy of the Ley Line Ignited | 6 | Warlock Zine | name_ru, description_ru
deepm_walk-the-twisted-path | Walk the Twisted Path | 6 | Deep Magic for 5th Edition | name_ru, description_ru
a5e-ag_wall-of-flesh | Wall of Flesh | 6 | Adventurer's Guide | name_ru, description_ru
srd-2024_wall-of-ice | Wall of Ice | 6 | 5e 2024 Rules | name_ru, description_ru
srd-2024_wall-of-thorns | Wall of Thorns | 6 | 5e 2024 Rules | name_ru, description_ru
deepm_warp-mind-and-matter | Warp Mind and Matter | 6 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_wind-walk | Wind Walk | 6 | 5e 2024 Rules | name_ru, description_ru
deepm_winters-radiance | Winter's Radiance | 6 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_winterdark | Winterdark | 6 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_word-of-recall | Word of Recall | 6 | 5e 2024 Rules | name_ru, description_ru
a5e-ag_wormway | Wormway | 6 | Adventurer's Guide | name_ru, description_ru
spells-that-dont-suck_wound | Wound | 6 | Spells That Don't Suck | name_ru, description_ru
deepm_acid-gate | Acid Gate | 7 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_amplify-gravity | Amplify Gravity | 7 | Deep Magic for 5th Edition | name_ru, description_ru
a5e-ag_angel-paradox | Angel Paradox | 7 | Adventurer's Guide | name_ru, description_ru
deepmx_anomalous-object | Anomalous Object | 7 | Deep Magic Extended | name_ru, description_ru
srd-2024_arcane-sword | Arcane Sword | 7 | 5e 2024 Rules | name_ru, description_ru
spells-that-dont-suck_arcanists-sword | Arcanist's Sword | 7 | Spells That Don't Suck | name_ru, description_ru
deepm_aspect-of-the-dragon | Aspect of the Dragon | 7 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_blizzard | Blizzard | 7 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_celebration | Celebration | 7 | Deep Magic for 5th Edition | name_ru, description_ru
toh_clear-the-board | Clear the Board | 7 | Tome of Heroes | name_ru, description_ru
spells-that-dont-suck_confinement | Confinement | 7 | Spells That Don't Suck | name_ru, description_ru
srd-2024_conjure-celestial | Conjure Celestial | 7 | 5e 2024 Rules | name_ru, description_ru
deepm_conjure-greater-spectral-dead | Conjure Greater Spectral Dead | 7 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_conjure-shadow-titan | Conjure Shadow Titan | 7 | Deep Magic for 5th Edition | name_ru, description_ru
toh_conjure-spectral-allies | Conjure Spectral Allies | 7 | Tome of Heroes | name_ru, description_ru
deepm_conjure-voidborn | Conjure Voidborn | 7 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_create-thunderstaff | Create Thunderstaff | 7 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_curse-of-dust | Curse of Dust | 7 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_curse-of-the-grave | Curse of the Grave | 7 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_death-gods-touch | Death God’s Touch | 7 | Deep Magic for 5th Edition | name_ru, description_ru
spells-that-dont-suck_death-ray | Death Ray | 7 | Spells That Don't Suck | name_ru, description_ru
deepm_defile-healing | Defile Healing | 7 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_delayed-blast-fireball | Delayed Blast Fireball | 7 | 5e 2024 Rules | name_ru, description_ru
srd-2024_divine-word | Divine Word | 7 | 5e 2024 Rules | name_ru, description_ru
a5e-ag_enrage-architecture | Enrage Architecture | 7 | Adventurer's Guide | name_ru, description_ru
srd-2024_etherealness | Etherealness | 7 | 5e 2024 Rules | name_ru, description_ru
srd-2024_finger-of-death | Finger of Death | 7 | 5e 2024 Rules | name_ru, description_ru
srd-2024_fire-storm | Fire Storm | 7 | 5e 2024 Rules | name_ru, description_ru
srd-2024_forcecage | Forcecage | 7 | 5e 2024 Rules | name_ru, description_ru
deepm_glacial-fog | Glacial Fog | 7 | Deep Magic for 5th Edition | name_ru, description_ru
spells-that-dont-suck_glyph-of-power | Glyph of Power | 7 | Spells That Don't Suck | name_ru, description_ru
kp_greater-ley-protection | Greater Ley Protection | 7 | Kobold Press Compilation | name_ru, description_ru
deepmx_greater-ley-pulse | Greater Ley Pulse | 7 | Deep Magic Extended | name_ru, description_ru
deepmx_hellforging | Hellforging | 7 | Deep Magic Extended | name_ru, description_ru
deepm_ice-soldiers | Ice Soldiers | 7 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_icy-grasp-of-the-void | Icy Grasp of the Void | 7 | Deep Magic for 5th Edition | name_ru, description_ru
toh_immolating-gibbet | Immolating Gibbet | 7 | Tome of Heroes | name_ru, description_ru
a5e-ag_inescapable-malady | Inescapable Malady | 7 | Adventurer's Guide | name_ru, description_ru
deepm_last-rays-of-the-dying-sun | Last Rays of the Dying Sun | 7 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_legend-killer | Legend Killer | 7 | Deep Magic for 5th Edition | name_ru, description_ru
toh_long-game | Long Game | 7 | Tome of Heroes | name_ru, description_ru
srd-2024_magnificent-mansion | Magnificent Mansion | 7 | 5e 2024 Rules | name_ru, description_ru
srd-2024_mirage-arcane | Mirage Arcane | 7 | 5e 2024 Rules | name_ru, description_ru
wz_mirror-realm | Mirror Realm | 7 | Warlock Zine | name_ru, description_ru
deepmx_molechs-blessing | Molech's Blessing | 7 | Deep Magic Extended | name_ru, description_ru
kp_morphic-flux | Morphic Flux | 7 | Kobold Press Compilation | name_ru, description_ru
srd-2024_plane-shift | Plane Shift | 7 | 5e 2024 Rules | name_ru, description_ru
srd-2024_prismatic-spray | Prismatic Spray | 7 | 5e 2024 Rules | name_ru, description_ru
srd-2024_project-image | Project Image | 7 | 5e 2024 Rules | name_ru, description_ru
spells-that-dont-suck_rain-of-fire | Rain of Fire | 7 | Spells That Don't Suck | name_ru, description_ru
srd-2024_regenerate | Regenerate | 7 | 5e 2024 Rules | name_ru, description_ru
spells-that-dont-suck_rejuvenation | Rejuvenation | 7 | Spells That Don't Suck | name_ru, description_ru
srd-2024_resurrection | Resurrection | 7 | 5e 2024 Rules | name_ru, description_ru
srd-2024_reverse-gravity | Reverse Gravity | 7 | 5e 2024 Rules | name_ru, description_ru
deepm_right-the-stars | Right the Stars | 7 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_ring-ward | Ring Ward | 7 | Deep Magic for 5th Edition | name_ru, description_ru
spells-that-dont-suck_safekeeping | Safekeeping | 7 | Spells That Don't Suck | name_ru, description_ru
spells-that-dont-suck_scintillant-blast | Scintillant Blast | 7 | Spells That Don't Suck | name_ru, description_ru
deepm_seal-of-sanctuary | Seal of Sanctuary | 7 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_sequester | Sequester | 7 | 5e 2024 Rules | name_ru, description_ru
deepm_sign-of-koth | Sign of Koth | 7 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_simulacrum | Simulacrum | 7 | 5e 2024 Rules | name_ru, description_ru
spells-that-dont-suck_soul-transfer | Soul Transfer | 7 | Spells That Don't Suck | name_ru, description_ru
a5e-ag_sporesight | Sporesight | 7 | Adventurer's Guide | name_ru, description_ru
deepm_starry-vision | Starry Vision | 7 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_symbol | Symbol | 7 | 5e 2024 Rules | name_ru, description_ru
deepm_symbol-of-sorcery | Symbol of Sorcery | 7 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_talons-of-a-hungry-land | Talons of a Hungry Land | 7 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_teleport | Teleport | 7 | 5e 2024 Rules | name_ru, description_ru
deepmx_timeless-engine | Timeless Engine | 7 | Deep Magic Extended | name_ru, description_ru
deepm_triumph-of-ice | Triumph of Ice | 7 | Deep Magic for 5th Edition | name_ru, description_ru
spells-that-dont-suck_twister | Twister | 7 | Spells That Don't Suck | name_ru, description_ru
deepm_uncontrollable-transformation | Uncontrollable Transformation | 7 | Deep Magic for 5th Edition | name_ru, description_ru
a5e-ag_unholy-star | Unholy Star | 7 | Adventurer's Guide | name_ru, description_ru
deepm_volley-shield | Volley Shield | 7 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_walking-wall | Walking Wall | 7 | Deep Magic for 5th Edition | name_ru, description_ru
toh_wild-hunt | Wild Hunt | 7 | Tome of Heroes | name_ru, description_ru
wz_zymurgic-aura | Zymurgic Aura | 7 | Warlock Zine | name_ru, description_ru
srd-2024_animal-shapes | Animal Shapes | 8 | 5e 2024 Rules | name_ru, description_ru
srd-2024_antimagic-field | Antimagic Field | 8 | 5e 2024 Rules | name_ru, description_ru
srd-2024_antipathysympathy | Antipathy/Sympathy | 8 | 5e 2024 Rules | name_ru, description_ru
deepm_arcane-sight | Arcane Sight | 8 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_awaken-object | Awaken Object | 8 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_befuddlement | Befuddlement | 8 | 5e 2024 Rules | name_ru, description_ru
deepm_black-sunshine | Black Sunshine | 8 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_bloom | Bloom | 8 | Deep Magic for 5th Edition | name_ru, description_ru
deepmx_call-the-hunter | Call the Hunter | 8 | Deep Magic Extended | name_ru, description_ru
deepm_caustic-torrent | Caustic Torrent | 8 | Deep Magic for 5th Edition | name_ru, description_ru
wz_child-of-light-and-darkness | Child of Light and Darkness | 8 | Warlock Zine | name_ru, description_ru
srd-2024_clone | Clone | 8 | 5e 2024 Rules | name_ru, description_ru
srd-2024_control-weather | Control Weather | 8 | 5e 2024 Rules | name_ru, description_ru
deepm_costly-victory | Costly Victory | 8 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_create-ring-servant | Create Ring Servant | 8 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_deadly-sting | Deadly Sting | 8 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_demiplane | Demiplane | 8 | 5e 2024 Rules | name_ru, description_ru
deepm_desolation | Desolation | 8 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_disruptive-aura | Disruptive Aura | 8 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_dominate-monster | Dominate Monster | 8 | 5e 2024 Rules | name_ru, description_ru
wz_door-of-the-far-traveler | Door of the Far Traveler | 8 | Warlock Zine | name_ru, description_ru
srd-2024_earthquake | Earthquake | 8 | 5e 2024 Rules | name_ru, description_ru
srd_feeblemind | Feeblemind | 8 | 5e 2014 Rules | name_ru, description_ru
deepm_ghoul-kings-cloak | Ghoul King’s Cloak | 8 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_glacial-cascade | Glacial Cascade | 8 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_glibness | Glibness | 8 | 5e 2024 Rules | name_ru, description_ru
deepm_glimpse-of-the-void | Glimpse of the Void | 8 | Deep Magic for 5th Edition | name_ru, description_ru
spells-that-dont-suck_great-wave | Great Wave | 8 | Spells That Don't Suck | name_ru, description_ru
deepm_harsh-light-of-summers-glare | Harsh Light of Summer’s Glare | 8 | Deep Magic for 5th Edition | name_ru, description_ru
a5e-ag_heart-of-dis | Heart of Dis | 8 | Adventurer's Guide | name_ru, description_ru
srd-2024_holy-aura | Holy Aura | 8 | 5e 2024 Rules | name_ru, description_ru
srd-2024_incendiary-cloud | Incendiary Cloud | 8 | 5e 2024 Rules | name_ru, description_ru
deepm_life-hack | Life Hack | 8 | Deep Magic for 5th Edition | name_ru, description_ru
deepmx_machine-sacrifice | Machine Sacrifice | 8 | Deep Magic Extended | name_ru, description_ru
deepm_malevolent-waves | Malevolent Waves | 8 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_maze | Maze | 8 | 5e 2024 Rules | name_ru, description_ru
srd-2024_mind-blank | Mind Blank | 8 | 5e 2024 Rules | name_ru, description_ru
spells-that-dont-suck_mind-link | Mind Link | 8 | Spells That Don't Suck | name_ru, description_ru
deepmx_move-the-cosmic-wheel | Move the Cosmic Wheel | 8 | Deep Magic Extended | name_ru, description_ru
deepm_paragon-of-chaos | Paragon of Chaos | 8 | Deep Magic for 5th Edition | name_ru, description_ru
deepmx_power-word-restore | Power Word Restore | 8 | Deep Magic Extended | name_ru, description_ru
srd-2024_power-word-stun | Power Word Stun | 8 | 5e 2024 Rules | name_ru, description_ru
deepm_quintessence | Quintessence | 8 | Deep Magic for 5th Edition | name_ru, description_ru
wz_rise-of-the-green | Rise of the Green | 8 | Warlock Zine | name_ru, description_ru
spells-that-dont-suck_seal-away | Seal Away | 8 | Spells That Don't Suck | name_ru, description_ru
deepm_seed-of-destruction | Seed of Destruction | 8 | Deep Magic for 5th Edition | name_ru, description_ru
spells-that-dont-suck_shatter-mind | Shatter Mind | 8 | Spells That Don't Suck | name_ru, description_ru
deepm_steam-whistle | Steam Whistle | 8 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_summon-star | Summon Star | 8 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_sunburst | Sunburst | 8 | 5e 2024 Rules | name_ru, description_ru
deepm_time-jump | Time Jump | 8 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_time-slippage | Time Slippage | 8 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_tsunami | Tsunami | 8 | 5e 2024 Rules | name_ru, description_ru
deepm_wind-of-the-hereafter | Wind of the Hereafter | 8 | Deep Magic for 5th Edition | name_ru, description_ru
spells-that-dont-suck_withering-field | Withering Field | 8 | Spells That Don't Suck | name_ru, description_ru
deepm_afflict-line | Afflict Line | 9 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_astral-projection | Astral Projection | 9 | 5e 2024 Rules | name_ru, description_ru
deepm_blood-to-acid | Blood to Acid | 9 | Deep Magic for 5th Edition | name_ru, description_ru
deepmx_circle-of-devestation | Circle of Devestation | 9 | Deep Magic Extended | name_ru, description_ru
deepmx_cosmic-alignment | Cosmic Alignment | 9 | Deep Magic Extended | name_ru, description_ru
wz_devouring-darkness | Devouring Darkness | 9 | Warlock Zine | name_ru, description_ru
toh_eruption | Eruption | 9 | Tome of Heroes | name_ru, description_ru
srd-2024_foresight | Foresight | 9 | 5e 2024 Rules | name_ru, description_ru
a5e-ag_forest-army | Forest Army | 9 | Adventurer's Guide | name_ru, description_ru
deepm_forest-sanctuary | Forest Sanctuary | 9 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_form-of-the-gods | Form of the Gods | 9 | Deep Magic for 5th Edition | name_ru, description_ru
toh_furious-wail | Furious Wail | 9 | Tome of Heroes | name_ru, description_ru
srd-2024_gate | Gate | 9 | 5e 2024 Rules | name_ru, description_ru
deepm_greater-maze | Greater Maze | 9 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_greater-seal-of-sanctuary | Greater Seal of Sanctuary | 9 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_imprisonment | Imprisonment | 9 | 5e 2024 Rules | name_ru, description_ru
kp_incantation-of-lies-made-truth | Incantation of Lies Made Truth | 9 | Kobold Press Compilation | name_ru, description_ru
deepmx_ley-storm | Ley Storm | 9 | Deep Magic Extended | name_ru, description_ru
deepmx_ley-surge | Ley Surge | 9 | Deep Magic Extended | name_ru, description_ru
deepm_mammons-due | Mammon’s Due | 9 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_mass-heal | Mass Heal | 9 | 5e 2024 Rules | name_ru, description_ru
srd-2024_meteor-swarm | Meteor Swarm | 9 | 5e 2024 Rules | name_ru, description_ru
kp_open-red-portal | Open Red Portal | 9 | Kobold Press Compilation | name_ru, description_ru
spells-that-dont-suck_phantasmal-nightmares | Phantasmal Nightmares | 9 | Spells That Don't Suck | name_ru, description_ru
srd-2024_power-word-heal | Power Word Heal | 9 | 5e 2024 Rules | name_ru, description_ru
srd-2024_power-word-kill | Power Word Kill | 9 | 5e 2024 Rules | name_ru, description_ru
srd-2024_prismatic-wall | Prismatic Wall | 9 | 5e 2024 Rules | name_ru, description_ru
deepm_pyroclasm | Pyroclasm | 9 | Deep Magic for 5th Edition | name_ru, description_ru
a5e-ag_raise-hell | Raise Hell | 9 | Adventurer's Guide | name_ru, description_ru
kp_selfish-wish | Selfish Wish | 9 | Kobold Press Compilation | name_ru, description_ru
srd-2024_shapechange | Shapechange | 9 | 5e 2024 Rules | name_ru, description_ru
deepm_stars-heart | Star's Heart | 9 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_storm-of-vengeance | Storm of Vengeance | 9 | 5e 2024 Rules | name_ru, description_ru
deepmx_summon-old-ones-avatar | Summon Old One's Avatar | 9 | Deep Magic Extended | name_ru, description_ru
spells-that-dont-suck_synaptic-shockwave | Synaptic Shockwave | 9 | Spells That Don't Suck | name_ru, description_ru
spells-that-dont-suck_tempest | Tempest | 9 | Spells That Don't Suck | name_ru, description_ru
kp_the-black-gods-blessing | The Black God's Blessing | 9 | Kobold Press Compilation | name_ru, description_ru
srd-2024_time-stop | Time Stop | 9 | 5e 2024 Rules | name_ru, description_ru
deepm_time-in-a-bottle | Time in a Bottle | 9 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_true-polymorph | True Polymorph | 9 | 5e 2024 Rules | name_ru, description_ru
srd-2024_true-resurrection | True Resurrection | 9 | 5e 2024 Rules | name_ru, description_ru
deepm_umbral-storm | Umbral Storm | 9 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_unleash-effigy | Unleash Effigy | 9 | Deep Magic for 5th Edition | name_ru, description_ru
deepm_void-rift | Void Rift | 9 | Deep Magic for 5th Edition | name_ru, description_ru
srd-2024_weird | Weird | 9 | 5e 2024 Rules | name_ru, description_ru
srd-2024_wish | Wish | 9 | 5e 2024 Rules | name_ru, description_ru
a5e-ag_writhing-transformation | Writhing Transformation | 9 | Adventurer's Guide | name_ru, description_ru
